dataset,category,n_rows,n_features,n_clusters,run,cpu_time_s,gpu_time_s
Iris,Kecil,150,4,3,1,0.012358,0.005101
Iris,Kecil,150,4,3,2,0.0119,0.005101
Iris,Kecil,150,4,3,3,0.012466,0.005278
Iris,Kecil,150,4,3,4,0.013097,0.004738
Iris,Kecil,150,4,3,5,0.011831,0.004785
Iris,Kecil,150,4,3,6,0.011831,0.005077
Iris,Kecil,150,4,3,7,0.013137,0.004964
Iris,Kecil,150,4,3,8,0.012553,0.005296
Iris,Kecil,150,4,3,9,0.011662,0.00499
Iris,Kecil,150,4,3,10,0.012391,0.004864
Seeds,Kecil,210,7,3,1,0.015988,0.005389
Seeds,Kecil,210,7,3,2,0.014271,0.006155
Seeds,Kecil,210,7,3,3,0.014569,0.005573
Seeds,Kecil,210,7,3,4,0.013054,0.005247
Seeds,Kecil,210,7,3,5,0.013947,0.005834
Seeds,Kecil,210,7,3,6,0.014613,0.005196
Seeds,Kecil,210,7,3,7,0.013332,0.005642
Seeds,Kecil,210,7,3,8,0.014881,0.004965
Seeds,Kecil,210,7,3,9,0.01389,0.005162
Seeds,Kecil,210,7,3,10,0.014204,0.005638
Wine UCI,Kecil,178,13,3,1,0.014411,0.005005
Wine UCI,Kecil,178,13,3,2,0.013942,0.004837
Wine UCI,Kecil,178,13,3,3,0.013704,0.004768
Wine UCI,Kecil,178,13,3,4,0.013551,0.005073
Wine UCI,Kecil,178,13,3,5,0.012576,0.005172
Wine UCI,Kecil,178,13,3,6,0.013204,0.005149
Wine UCI,Kecil,178,13,3,7,0.013419,0.00473
Wine UCI,Kecil,178,13,3,8,0.014675,0.004855
Wine UCI,Kecil,178,13,3,9,0.014085,0.005007
Wine UCI,Kecil,178,13,3,10,0.01234,0.005159
Wine Quality,Sedang,5320,11,3,1,0.082964,0.019162
Wine Quality,Sedang,5320,11,3,2,0.084211,0.020051
Wine Quality,Sedang,5320,11,3,3,0.080298,0.018862
Wine Quality,Sedang,5320,11,3,4,0.079916,0.020071
Wine Quality,Sedang,5320,11,3,5,0.088453,0.01691
Wine Quality,Sedang,5320,11,3,6,0.090764,0.01951
Wine Quality,Sedang,5320,11,3,7,0.084694,0.018955
Wine Quality,Sedang,5320,11,3,8,0.089265,0.018663
Wine Quality,Sedang,5320,11,3,9,0.086537,0.018958
Wine Quality,Sedang,5320,11,3,10,0.082258,0.017387
Adult,Sedang,48236,6,3,1,0.317188,0.047205
Adult,Sedang,48236,6,3,2,0.324571,0.048517
Adult,Sedang,48236,6,3,3,0.338917,0.046002
Adult,Sedang,48236,6,3,4,0.313366,0.046565
Adult,Sedang,48236,6,3,5,0.309651,0.046468
Adult,Sedang,48236,6,3,6,0.313578,0.044855
Adult,Sedang,48236,6,3,7,0.331717,0.047505
Adult,Sedang,48236,6,3,8,0.324208,0.047452
Adult,Sedang,48236,6,3,9,0.313219,0.047067
Adult,Sedang,48236,6,3,10,0.32657,0.046706
Dry Bean,Sedang,13611,16,7,1,0.167262,0.031959
Dry Bean,Sedang,13611,16,7,2,0.176214,0.034579
Dry Bean,Sedang,13611,16,7,3,0.176916,0.034699
Dry Bean,Sedang,13611,16,7,4,0.17278,0.038026
Dry Bean,Sedang,13611,16,7,5,0.178548,0.034349
Dry Bean,Sedang,13611,16,7,6,0.183636,0.035033
Dry Bean,Sedang,13611,16,7,7,0.196976,0.034567
Dry Bean,Sedang,13611,16,7,8,0.181571,0.032997
Dry Bean,Sedang,13611,16,7,9,0.182318,0.036198
Dry Bean,Sedang,13611,16,7,10,0.17933,0.035657
Covertype,Besar,581012,54,7,1,18.939023,0.627166
Covertype,Besar,581012,54,7,2,17.99529,0.65248
Covertype,Besar,581012,54,7,3,19.278551,0.634801
Covertype,Besar,581012,54,7,4,17.721973,0.658813
Covertype,Besar,581012,54,7,5,18.825706,0.637034
Covertype,Besar,581012,54,7,6,19.715703,0.67564
Covertype,Besar,581012,54,7,7,17.950252,0.639163
Covertype,Besar,581012,54,7,8,18.185705,0.646373
Covertype,Besar,581012,54,7,9,18.555307,0.664127
Covertype,Besar,581012,54,7,10,18.220571,0.632165
Poker Hand,Besar,500000,10,10,1,14.296898,0.632096
Poker Hand,Besar,500000,10,10,2,14.756843,0.633543
Poker Hand,Besar,500000,10,10,3,13.515212,0.618064
Poker Hand,Besar,500000,10,10,4,14.278654,0.631821
Poker Hand,Besar,500000,10,10,5,14.31071,0.632738
Poker Hand,Besar,500000,10,10,6,14.533057,0.617546
Poker Hand,Besar,500000,10,10,7,13.673059,0.656454
Poker Hand,Besar,500000,10,10,8,13.637485,0.635464
Poker Hand,Besar,500000,10,10,9,14.422347,0.610354
Poker Hand,Besar,500000,10,10,10,14.326515,0.638219
Sensorless,Besar,58509,48,11,1,2.690836,0.16689
Sensorless,Besar,58509,48,11,2,2.888153,0.167295
Sensorless,Besar,58509,48,11,3,2.929763,0.171355
Sensorless,Besar,58509,48,11,4,2.708084,0.173654
Sensorless,Besar,58509,48,11,5,2.907898,0.1733
Sensorless,Besar,58509,48,11,6,2.846231,0.176326
Sensorless,Besar,58509,48,11,7,2.892071,0.171851
Sensorless,Besar,58509,48,11,8,3.012441,0.179769
Sensorless,Besar,58509,48,11,9,2.772517,0.170324
Sensorless,Besar,58509,48,11,10,2.715582,0.186732
HIGGS,Sangat Besar,1000000,28,7,1,52.650694,1.214788
HIGGS,Sangat Besar,1000000,28,7,2,51.108556,1.240295
HIGGS,Sangat Besar,1000000,28,7,3,50.886272,1.227721
HIGGS,Sangat Besar,1000000,28,7,4,52.501771,1.199142
HIGGS,Sangat Besar,1000000,28,7,5,51.767599,1.22692
HIGGS,Sangat Besar,1000000,28,7,6,52.742561,1.231073
HIGGS,Sangat Besar,1000000,28,7,7,52.492167,1.206227
HIGGS,Sangat Besar,1000000,28,7,8,51.924258,1.226539
HIGGS,Sangat Besar,1000000,28,7,9,51.119335,1.224669
HIGGS,Sangat Besar,1000000,28,7,10,50.424559,1.201154
SUSY,Sangat Besar,1000000,18,5,1,46.329164,1.199488
SUSY,Sangat Besar,1000000,18,5,2,46.515922,1.210227
SUSY,Sangat Besar,1000000,18,5,3,46.996407,1.206774
SUSY,Sangat Besar,1000000,18,5,4,46.969498,1.201019
SUSY,Sangat Besar,1000000,18,5,5,44.732544,1.182635
SUSY,Sangat Besar,1000000,18,5,6,45.137201,1.203065
SUSY,Sangat Besar,1000000,18,5,7,46.473832,1.173933
SUSY,Sangat Besar,1000000,18,5,8,46.472683,1.184127
SUSY,Sangat Besar,1000000,18,5,9,46.473844,1.1794
SUSY,Sangat Besar,1000000,18,5,10,49.544513,1.190188
Airline Delay,Sangat Besar,1000000,5,5,1,42.89802,1.198843
Airline Delay,Sangat Besar,1000000,5,5,2,39.468843,1.217219
Airline Delay,Sangat Besar,1000000,5,5,3,41.562733,1.213902
Airline Delay,Sangat Besar,1000000,5,5,4,39.677573,1.200371
Airline Delay,Sangat Besar,1000000,5,5,5,40.613016,1.254628
Airline Delay,Sangat Besar,1000000,5,5,6,41.892939,1.225321
Airline Delay,Sangat Besar,1000000,5,5,7,41.05271,1.173713
Airline Delay,Sangat Besar,1000000,5,5,8,40.116249,1.216637
Airline Delay,Sangat Besar,1000000,5,5,9,40.413451,1.200174
Airline Delay,Sangat Besar,1000000,5,5,10,41.55727,1.229562
